Likes,Date,Location,Location_coord,Grid_coord,Post_url
852.0,2021-12-16 21:06:00,亞尼克夢想村,"(25.1374096966, 121.543731329)","(25.14, 121.54)",https://www.instagram.com/p/CXi3bDSvxUe
303.0,2021-12-16 15:01:36,嫩嫩的窩,"(25.1445976457, 121.4953523735)","(25.14, 121.5)",https://www.instagram.com/p/CXiNuG5Me8M
181.0,2021-12-16 21:05:49,UFC GYM Taiwan 內科模範館,"(25.0805, 121.5695)","(25.08, 121.56)",https://www.instagram.com/p/CXi3Zsjvsab
104.0,2021-12-15 12:28:18,有毛公寓,"(25.05017, 121.57537)","(25.06, 121.58)",https://www.instagram.com/p/CXfXYXFJ7LR
188.0,2021-12-15 22:10:35,"Mandarin Oriental, Taipei 台北文華東方酒店","(25.0557416, 121.5481485)","(25.06, 121.54)",https://www.instagram.com/p/CXgaBLyp-6F
5431.0,2021-12-15 22:00:34,中山站,"(25.0524894114, 121.5204027119)","(25.06, 121.52)",https://www.instagram.com/p/CXgY308FOUI
140.0,2021-12-16 21:42:38,新光三越 台北南西店,"(25.052255313, 121.5210987395)","(25.06, 121.52)",https://www.instagram.com/p/CXi7nXNhuWn
135.0,2021-12-16 18:01:11,中山站,"(25.0524894114, 121.5204027119)","(25.06, 121.52)",https://www.instagram.com/p/CXiiRayv1M8
38.0,2021-12-16 22:58:39,捷運中山站線形公園,"(25.0542112989, 121.5205394433)","(25.06, 121.52)",https://www.instagram.com/p/CXjEUEnPKm5
3.0,2021-12-16 21:40:54,捷運中山站,"(25.0527837181, 121.5205509356)","(25.06, 121.52)",https://www.instagram.com/p/CXi7asJPgkF
3.0,2021-12-15 19:40:18,"101 Tapei, Taiwan","(25.0565786093, 121.5226057047)","(25.06, 121.52)",https://www.instagram.com/p/CXgI0dQhRlk
77.0,2021-12-16 21:16:29,三重河堤＆鴨鴨公園,"(25.0512094, 121.4821706)","(25.06, 121.48)",https://www.instagram.com/p/CXi4n1vPICd
76.0,2021-12-16 00:32:25,三重河堤＆鴨鴨公園,"(25.0512094, 121.4821706)","(25.06, 121.48)",https://www.instagram.com/p/CXgpokLDsl6
52.0,2021-12-16 09:07:00,三重河堤＆鴨鴨公園,"(25.0512094, 121.4821706)","(25.06, 121.48)",https://www.instagram.com/p/CXhlI6dvXbk
1665.0,2021-12-15 10:04:47,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXfG9UIFFHl
1269.0,2021-12-16 21:36:38,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXi67X9v7ej
1068.0,2021-12-15 19:48:33,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXgJw6ivKLi
260.0,2021-12-15 18:10:38,新光三越 台北信義新天地,"(25.0378839456, 121.5669386408)","(25.04, 121.56)",https://www.instagram.com/p/CXf-juRl3BN
209.0,2021-12-16 11:16:30,微風信義 Breeze Xin Yi,"(25.0407766174, 121.5666925907)","(25.04, 121.56)",https://www.instagram.com/p/CXhz9YRPSPk
191.0,2021-12-15 02:36:21,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXeTo4thnRc
181.0,2021-12-16 17:33:49,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXifI7Up3bc
173.0,2021-12-16 15:34:57,gelato pique cafe Taiwan,"(25.03896, 121.5674)","(25.04, 121.56)",https://www.instagram.com/p/CXiRiYElRNd
172.0,2021-12-16 00:56:28,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXgtAKuvC8x
151.0,2021-12-16 14:07:17,台北 101 - Taipei 101,"(25.0340224989, 121.5643476696)","(25.04, 121.56)",https://www.instagram.com/p/CXiHgP8L5dX
135.0,2021-12-15 21:32:17,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXgVoqgPVcf
107.0,2021-12-15 09:55:54,Camino 歐式實景攝影棚,"(25.0486498639, 121.5631018136)","(25.04, 121.56)",https://www.instagram.com/p/CXfF8JAvsGX
22.0,2021-12-16 18:36:18,信義區商圈,"(25.0373852903, 121.5668806983)","(25.04, 121.56)",https://www.instagram.com/p/CXimSk9gWlm
16.0,2021-12-16 13:43:56,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)","(25.04, 121.56)",https://www.instagram.com/p/CXiEg7TMz5n
1300.0,2021-12-16 17:43:39,"Taipei, Taiwan","(25.0458, 121.5339)","(25.04, 121.54)",https://www.instagram.com/p/CXigQ8WFmMG
455.0,2021-12-16 12:27:43,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.0458, 121.5339)","(25.04, 121.54)",https://www.instagram.com/p/CXh8HECPFo6
408.0,2021-12-16 21:04:54,PM Flowers,"(25.04857, 121.5323)","(25.04, 121.54)",https://www.instagram.com/p/CXi3TBJlPU3
389.0,2021-12-16 15:22:16,"Taipei, Taiwan","(25.0458, 121.5339)","(25.04, 121.54)",https://www.instagram.com/p/CXiQFeTPcwq
350.0,2021-12-16 11:33:38,Bellavita寶麗廣場 - 貴婦百貨信義區,"(25.0458, 121.5339)","(25.04, 121.54)",https://www.instagram.com/p/CXh165BBD_A
624.0,2021-12-15 21:28:09,福祿壽生日趴,"(25.031315755, 121.5193445733)","(25.04, 121.52)",https://www.instagram.com/p/CXgVKXnv2Z4
119.0,2021-12-16 16:10:38,Datelierflower,"(25.03243925, 121.5189058)","(25.04, 121.52)",https://www.instagram.com/p/CXiVnwMv3cf
3.0,2021-12-15 17:17:35,西門町 Ximenting,"(25.0436783946, 121.5070461141)","(25.04, 121.5)",https://www.instagram.com/p/CXf4fKCBGIz
3.0,2021-12-15 23:01:20,新北市板橋耶誕城,"(25.0464633, 121.2902989)","(25.04, 121.3)",https://www.instagram.com/p/CXgf00fvveP
469.0,2021-12-16 11:50:01,信義新光三越A9 館,"(25.0145092, 121.5179057)","(25.02, 121.52)",https://www.instagram.com/p/CXh3y0ysXwc
168.0,2021-12-15 01:18:09,天母 新光三越,"(25.0247954602, 121.5159805101)","(25.02, 121.52)",https://www.instagram.com/p/CXeKsFfPuCi
124.0,2021-12-16 00:21:36,新北歡樂耶誕誠,"(25.0260080133, 121.4749449492)","(25.02, 121.48)",https://www.instagram.com/p/CXgpAu8B6es
110.0,2021-12-15 21:36:48,新北歡樂耶誕誠,"(25.0260080133, 121.4749449492)","(25.02, 121.48)",https://www.instagram.com/p/CXgWJvOhn2Z
819.0,2021-12-16 12:49:02,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXh-jJMPjjk
693.0,2021-12-15 20:29:03,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXgOZk1vFdt
642.0,2021-12-15 09:50:46,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXfFWjOvQmW
548.0,2021-12-16 21:05:20,新北耶誕城,"(25.0133916667, 121.4652116667)","(25.02, 121.46)",https://www.instagram.com/p/CXi3WMGPdYN
510.0,2021-12-15 20:00:02,Banqiao District,"(25.0126, 121.4602)","(25.02, 121.46)",https://www.instagram.com/p/CXgLFCmvvku
300.0,2021-12-16 10:08:04,板橋市政府 新北耶誕城,"(25.0135340323, 121.4644479901)","(25.02, 121.46)",https://www.instagram.com/p/CXhsIMEvDzf
213.0,2021-12-16 12:05:57,聖誕節倒數中,"(25.0202446, 121.295132)","(25.02, 121.3)",https://www.instagram.com/p/CXh5noBv-8s
231.0,2021-12-16 15:18:24,華泰名品城,"(25.0156339766, 121.2146793492)","(25.02, 121.22)",https://www.instagram.com/p/CXiPpGEh311
31.0,2021-12-16 22:00:10,華泰名品城,"(25.0156339766, 121.2146793492)","(25.02, 121.22)",https://www.instagram.com/p/CXi9nspMssX
113.0,2021-12-15 23:07:29,海底撈火鍋 HaidilaoTaiwan,"(24.99116, 121.31266)","(25.0, 121.32)",https://www.instagram.com/p/CXggh3UPnTb
16.0,2021-12-16 11:36:41,福柒涮涮鍋-中壢店,"(24.95721, 121.22338)","(24.96, 121.22)",https://www.instagram.com/p/CXh2RRoll0U
12.0,2021-12-16 18:00:43,雄獅文具 想像力製造所,"(24.8417731313, 121.1962341013)","(24.84, 121.2)",https://www.instagram.com/p/CXiiN8ZrXdY
13.0,2021-12-16 21:30:20,新竹巨城big City,"(24.7737366, 121.0846583)","(24.78, 121.08)",https://www.instagram.com/p/CXi6NQmselN
148.0,2021-12-15 23:14:14,斑比山丘 Bambi Land,"(24.6477582651, 121.7414975166)","(24.64, 121.74)",https://www.instagram.com/p/CXghTWtv0SX
2862.0,2021-12-15 20:00:56,台中火車站,"(24.5695877257, 120.8224907548)","(24.56, 120.82)",https://www.instagram.com/p/CXgLLlNLapo
475.0,2021-12-16 21:45:46,台中火車站,"(24.5695877257, 120.8224907548)","(24.56, 120.82)",https://www.instagram.com/p/CXi7-T5Pjjx
601.0,2021-12-15 20:34:04,花露農場 FlowerHome,"(24.3328722803, 120.8272444584)","(24.34, 120.82)",https://www.instagram.com/p/CXgO-RMvJB7
11964.0,2021-12-16 19:00:24,麗寶OUTLET MALL,"(24.324749781, 120.6997650862)","(24.32, 120.7)",https://www.instagram.com/p/CXipDDDvpGY
3333.0,2021-12-16 19:00:19,麗寶OUTLET MALL,"(24.324749781, 120.6997650862)","(24.32, 120.7)",https://www.instagram.com/p/CXipCd1vG8S
1615.0,2021-12-16 21:28:03,麗寶OUTLET MALL,"(24.324749781, 120.6997650862)","(24.32, 120.7)",https://www.instagram.com/p/CXi58eqFDJo
174.0,2021-12-16 09:02:24,麗寶OUTLET MALL,"(24.324749781, 120.6997650862)","(24.32, 120.7)",https://www.instagram.com/p/CXhknRRP7ZQ
187.0,2021-12-16 09:38:07,豐原葫蘆墩公園,"(24.2552988681, 120.7092761993)","(24.26, 120.7)",https://www.instagram.com/p/CXhos2oJqk3
3.0,2021-12-15 19:43:59,台中三井 Outlet Ivorish台中港店,"(24.2582904, 120.5182151)","(24.26, 120.52)",https://www.instagram.com/p/CXgJPY0p-Qb
388.0,2021-12-15 10:16:04,中央公園 Taichung Central Park,"(24.17948, 120.6561)","(24.18, 120.66)",https://www.instagram.com/p/CXfIP5VPFJ3
3.0,2021-12-15 21:48:34,中央公園 Taichung Central Park,"(24.17948, 120.6561)","(24.18, 120.66)",https://www.instagram.com/p/CXgXf6LPZh2
14354.0,2021-12-16 21:01:07,新光三越 台中中港店,"(24.1649964815, 120.6434045451)","(24.16, 120.64)",https://www.instagram.com/p/CXi23TtFIna
1462.0,2021-12-15 18:09:04,臺中國家歌劇院 National Taichung Theater,"(24.1630051195, 120.6409214834)","(24.16, 120.64)",https://www.instagram.com/p/CXf-YMmP9eh
749.0,2021-12-15 20:06:12,新光三越 台中中港店,"(24.1649964815, 120.6434045451)","(24.16, 120.64)",https://www.instagram.com/p/CXgLyMfPF3j
602.0,2021-12-16 17:05:54,新光三越 台中中港店,"(24.1649964815, 120.6434045451)","(24.16, 120.64)",https://www.instagram.com/p/CXib8bypmdJ
256.0,2021-12-16 19:55:10,遠東百貨 Top City台中大遠百,"(24.1641983088, 120.644736886)","(24.16, 120.64)",https://www.instagram.com/p/CXivUQUPaUE
201.0,2021-12-16 23:00:47,新光三越 台中中港店,"(24.1649964815, 120.6434045451)","(24.16, 120.64)",https://www.instagram.com/p/CXjEjwmv0t5
149.0,2021-12-15 20:20:00,台中歌劇院廣場,"(24.153964, 120.6363595)","(24.16, 120.64)",https://www.instagram.com/p/CXgNXPcPLz7
231.0,2021-12-16 07:35:59,大魯閣新時代購物中心,"(24.1360451714, 120.6876760154)","(24.14, 120.68)",https://www.instagram.com/p/CXhauQ2vMHg
161.0,2021-12-15 17:50:12,窩巷ᴴᴵᴰᴰᴱᴺ ᴸᴬᴺᴱ,"(24.13722, 120.67257)","(24.14, 120.68)",https://www.instagram.com/p/CXf8OBCPKXg
112.0,2021-12-15 17:42:41,窩巷ᴴᴵᴰᴰᴱᴺ ᴸᴬᴺᴱ,"(24.13722, 120.67257)","(24.14, 120.68)",https://www.instagram.com/p/CXf7W_HPEII
917.0,2021-12-15 21:30:44,有膽你就按讚+留言,"(24.0685848802, 120.549662775)","(24.06, 120.54)",https://www.instagram.com/p/CXgVdTNPkqT
61.0,2021-12-16 19:21:51,遠東百貨 花蓮店,"(23.9784748312, 121.5993803926)","(23.98, 121.6)",https://www.instagram.com/p/CXirgNNvlsA
630.0,2021-12-16 10:35:58,兔子的秘密花園,"(23.0495509, 120.2184138)","(23.04, 120.22)",https://www.instagram.com/p/CXhvUexP1XB
634.0,2021-12-16 18:53:15,南紡購物中心,"(22.9908366653, 120.2330088295)","(23.0, 120.24)",https://www.instagram.com/p/CXioOxYPFFT
353.0,2021-12-15 12:10:01,南紡購物中心,"(22.9908366653, 120.2330088295)","(23.0, 120.24)",https://www.instagram.com/p/CXfVSbsLilx
