Location,Location_coord,rating,Post_url
旬採鮨処-中山店,"(25.05629919999999, 121.5222524)",4.4,https://www.instagram.com/p/COcACIYgRUI/
夏慕尼新香榭鐵板燒台北中山北店,"(25.0553011, 121.52236)",4.3,https://www.instagram.com/p/CW7a0h6P5Wn/
（百花台）R9 Café,"(25.0549026, 121.5203316)",4.3,https://www.instagram.com/p/CWmfX3Zvk_d/
京都鐵板燒,"(25.0548525, 121.5232423)",4.3,https://www.instagram.com/p/BSDaV9hAK3x/
笹鮨 SASA,"(25.05454289999999, 121.5220929)",4.4,https://www.instagram.com/p/CJIWfw7gooV/
AN-Burger,"(25.0543751, 121.5217341)",4.1,https://www.instagram.com/p/B6vPvSSJA7Y/
台北晶華酒店- 栢麗廳 Brasserie,"(25.05417779999999, 121.524244)",4.2,https://www.instagram.com/p/CFB49KiDIzK/
The One 食藝．中山概念店,"(25.05414399999999, 121.522435)",4.3,https://www.instagram.com/p/CRf5dYVH3en/
台北晶華酒店－ROBIN'S 牛排屋,"(25.0541056, 121.5243311)",4.3,https://www.instagram.com/p/CNBtIg5lFbv/
(老爺大酒店)Le Caf'e咖啡廳,"(25.0539473, 121.5228839)",4.1,https://www.instagram.com/p/CNpVIkSDq-M/
中山日本料理廳 - 台北老爺大酒店,"(25.0536772, 121.5228805)",4.1,https://www.instagram.com/p/CFrnW8YguOE/
Hana Bi はなび 日式Tapas居酒屋 釜飯專門店,"(25.0535972, 121.5220639)",4.3,https://www.instagram.com/p/CXoOGRipwMI/
GALERIE Bistro 家樂利小酒館,"(25.0533556, 121.5202353)",4.3,https://www.instagram.com/p/CXIapDcvm-F/
乾杯 中山店,"(25.0531144, 121.5201853)",4.1,https://www.instagram.com/p/COamsrZJzuy/
丸亀製麵 新光三越台北南西3館店 烏龍麵餐廳,"(25.0527485, 121.5206836)",4.2,https://www.instagram.com/p/CMjzPBiBina/
山里日本料理,"(25.0525475, 121.5232747)",4.2,https://www.instagram.com/p/CEb6t8yhryB/
61 NOTE | SHOP & TEA,"(25.0525429, 121.5182821)",4.1,https://www.instagram.com/p/BY3Qrb_gK4A/
天廚菜館,"(25.0525, 121.5219444)",4.1,https://www.instagram.com/p/B7BSgrHAnPr/
大戶屋誠品南西店,"(25.0522149, 121.5206209)",4.1,https://www.instagram.com/p/BxhtebGhGTW/
smith&hsu 現代茶館 南京東路店,"(25.0519952, 121.52396)",4.2,https://www.instagram.com/p/CXDmrQVJr6a/
平成十九,"(25.051965, 121.519699)",4.1,https://www.instagram.com/p/CHwgXBdD06o/
米塔義式廚房-南京店,"(25.0519006, 121.5236634)",4.1,https://www.instagram.com/p/VEUNyFkYgh/
屯京拉麵 中山店,"(25.0518467, 121.522678)",4.1,https://www.instagram.com/p/CTepEnJB4ph/
蘿絲瑪莉義麵坊,"(25.0517642, 121.5219695)",4.3,https://www.instagram.com/p/CXBFNGMB2FW/
麵屋武藏-神山,"(25.0510319, 121.5235744)",4.2,https://www.instagram.com/p/CEiM5LrjhVj/
一風堂 中山本店,"(25.05048829999999, 121.5222772)",4.1,https://www.instagram.com/p/CSbbrOohB0b/
龍都酒樓,"(25.0503539, 121.5244483)",4.2,https://www.instagram.com/p/CGe7ERKjnld/
貓妝自家烘焙咖啡館,"(25.0501829, 121.5196979)",4.3,https://www.instagram.com/p/B-u36IRjP7C/
荷蘭小鬆餅（長安創始店）,"(25.0496671, 121.5196164)",4.1,https://www.instagram.com/p/CV7dg75B8CV/
九寨十鍋 四川麻辣火鍋,"(25.0493843, 121.523009)",4.3,https://www.instagram.com/p/CEHQszeJq9b/
開飯川食堂 京站店,"(25.049308, 121.5171935)",4.2,https://www.instagram.com/p/CDHBYIxBOqJ/
BELLINI Pasta Pasta 台北京站店,"(25.0492337, 121.5170684)",4.1,https://www.instagram.com/p/BwHJI1gnXnu/
TGIFRIDAYS星期五美式餐廳信義餐廳,"(25.0407344, 121.5653917)",4.1,https://www.instagram.com/p/CW5tWKJBkvh/
大戶屋統一時代台北店,"(25.0406227, 121.5654586)",4.3,https://www.instagram.com/p/Bk4GqiphUnL/
紫艷中餐廳,"(25.040598, 121.565735)",4.3,https://www.instagram.com/p/ByAOd6oHkSl/
太陽蕃茄拉麵誠品信義店,"(25.0397197, 121.5658739)",4.2,https://www.instagram.com/p/BEQ_qtiH2ys/
