Profile,Profile_followers,Likes,Date,Location,Location_coord,Post_url,Img_link
tsaijiegrace,976.0,3949.0,2021-12-14 20:30:30,TAIPEI 101 MALL 台北 101 購物中心,"(25.0343805984, 121.5644432558)",https://www.instagram.com/p/CXdpxPPPMPK,https://instagram.ftpe7-4.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/267749814_1801207360064887_3250689725575318648_n.jpg?_nc_ht=instagram.ftpe7-4.fna.fbcdn.net&_nc_cat=107&_nc_ohc=o1ueNiqXLL4AX-Mv8Wz&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-GRwL-y2WTnOs0_V4cEZ9VUunPtIqQ9MkJDbOJmCvxSw&oe=61C17EBE&_nc_sid=83d603
boray_pj,681.0,3300.0,2021-12-12 12:03:35,Running steak 朗寧牛排,"(23.9568502084, 120.9750803468)",https://www.instagram.com/p/CXXmKtsPFi7,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/265881745_591278542178363_7336777087928821205_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=2SnXFqyld3YAX_94kwC&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT92VTu028v0jpFScWWAH7dmflSeGzH3r8uUJdCZShKmeA&oe=61C117B9&_nc_sid=83d603
zoebitalk,75.0,2846.0,2021-12-11 11:55:31,新北耶誕城,"(25.05020615, 121.59259317)",https://www.instagram.com/p/CXVAcytvKcU,https://instagram.ftpe7-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/265361261_330161531961189_5059623855536274994_n.jpg?_nc_ht=instagram.ftpe7-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ZiJpF32WPZUAX9kPIN-&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8pg6VIyIuCT6Q3ZPAR72qf9WdelNkmptzjuw6Yr9Uiog&oe=61C1A02B&_nc_sid=83d603
_moonspaces_,21.0,2057.0,2021-12-12 20:27:56,聖誕快樂哦: ),"(24.73792106, 121.16129915)",https://www.instagram.com/p/CXYf4voJF-4,https://instagram.ftpe7-4.fna.fbcdn.net/v/t51.2885-15/e35/266085182_592632535327851_10011224518825105_n.jpg?_nc_ht=instagram.ftpe7-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=sqJG6TNMr2gAX8RQm23&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT_F-1LJ50ZoviNE1S30quhDnaE7N29kg7UVeOQTqJaj7Q&oe=61C29DAD&_nc_sid=83d603
ovaltine_fooddiary,795.0,1706.0,2021-12-11 20:11:21,聖誕節快樂不要不快樂,"(24.8465518951, 121.2273101807)",https://www.instagram.com/p/CXV5MYmpS13,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/266468600_302395401769518_1566207433545267269_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=eFOBiMp9uBkAX_aFzy2&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT81vQrmCOUuWTU592Nd2ROyD2Ci3MxMxvkf-AlUMoUH0g&oe=61C28BC3&_nc_sid=83d603
tw_wheretogo,118.0,1137.0,2021-12-09 12:48:04,中央公園 Taichung Central Park,"(24.17948, 120.6561)",https://www.instagram.com/p/CXP8366vNHR,https://instagram.ftpe7-3.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/264585815_436578624749399_3279040002662417423_n.jpg?_nc_ht=instagram.ftpe7-3.fna.fbcdn.net&_nc_cat=111&_nc_ohc=oeFtklo3yNAAX_KrHiP&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8jiHbJXozE5Bg9R3ULo48EM4mP8_2FVfk6yptRvmmOlw&oe=61C14A28&_nc_sid=83d603
bb211019,737.0,1043.0,2021-12-11 21:25:58,河樂時尚廣場,"(22.9936813936, 120.1948159933)",https://www.instagram.com/p/CXWBu20vHWV,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/265559336_129629266167744_4482411447112953740_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=wX97R0X4ibQAX9tKg6a&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-XTv595gnHH4BPqsIiUu_v4F4hU5YA9nhVVEz-_3NsDw&oe=61C2A10C&_nc_sid=83d603
o_omikilove,519.0,656.0,2021-12-11 17:14:50,六福村主題遊樂園,"(24.821058232, 121.1822051252)",https://www.instagram.com/p/CXVk_j7JdKs,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/265520055_898388674213534_1614143450256916880_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=QEDU6SJqQLYAX9N-AWo&tn=p3PuYwOUb0brXnrV&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-yx34guGq_4nSkOTXd8YArtVKXSs6KjUWopymb4Ia3OQ&oe=61C24BBB&_nc_sid=83d603
chieh_ej_____,924.0,605.0,2021-12-09 21:08:34,臺中國家歌劇院 National Taichung Theater,"(24.1630051195, 120.6409214834)",https://www.instagram.com/p/CXQ2Js_P1ZA,https://instagram.ftpe7-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/265687790_887469275295076_4571441077509738408_n.jpg?_nc_ht=instagram.ftpe7-2.fna.fbcdn.net&_nc_cat=104&_nc_ohc=0rPNgqbry1UAX-_a-W_&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-HhFkXZ32eiMlWQQhj8Pvqn2sNhkKEYkEwCU5ako0qww&oe=61C1822F&_nc_sid=83d603
germanshepherd_idol,243.0,602.0,2021-12-14 08:05:48,新北歡樂耶誕誠,"(25.0260080133, 121.4749449492)",https://www.instagram.com/p/CXcUi36PeTB,https://instagram.ftpe7-1.fna.fbcdn.net/v/t51.2885-15/e35/266663018_894620674585774_8474229881110831087_n.jpg?_nc_ht=instagram.ftpe7-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=D7fUJZehlzEAX8oMBAy&tn=qslcWGLUZOVNi3iQ&edm=ABZsPhsBAAAA&ccb=7-4&oh=00_AT-Bivfrj6J09gb1MeD_8_wq2OHs2omX5ErLUqs4bdpXEw&oe=61C10EB2&_nc_sid=4efc9f&ig_cache_key=MjcyODE0NTgzMTcwNTA0NDE2MQ%3D%3D.2-ccb7-4
susu03.13,6236.0,543.0,2021-12-14 11:53:54,聖誕節快樂,"(25.0184154, 121.4651094)",https://www.instagram.com/p/CXcupkhvaRY,https://instagram.ftpe7-2.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/267141318_908657949759813_4932793384560288579_n.jpg?_nc_ht=instagram.ftpe7-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=0ZePyTnuBdQAX8CMnTu&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT-HSw9gnz2E0KuahD3U148QXJmMT5KHVcs9BmTrBqPCfg&oe=61C13E28&_nc_sid=83d603
permio1,1446.0,540.0,2021-12-13 21:22:22,義享時尚廣場,"(22.6565418128, 120.3065371513)",https://www.instagram.com/p/CXbK6OxlEgy,https://instagram.ftpe7-2.fna.fbcdn.net/v/t51.2885-15/e35/266311967_1040039563226289_1120688569135081094_n.jpg?_nc_ht=instagram.ftpe7-2.fna.fbcdn.net&_nc_cat=109&_nc_ohc=yMyIuEkgmbMAX_e-K0p&edm=AABBvjUBAAAA&ccb=7-4&oh=00_AT8Gk5os_bk9YlXAaMcNL4CMD7LCmcR4oBPeKsi9YmTcBQ&oe=61C21AA1&_nc_sid=83d603
